#aclip
epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_s,peak_mem_mb,trainable_params
1,2.7330,0.0346,2.7050,0.0566,59.09,2324.5,7695
2,2.7301,0.0400,2.7034,0.0577,70.20,747.1,7695
3,2.7246,0.0427,2.7018,0.0566,63.97,747.1,7695
1,2.6502,0.1013,2.6873,0.1392,85.69,3341.0,7695
2,2.4645,0.2574,2.6430,0.2370,97.17,2969.9,7695
3,2.3954,0.3280,2.6958,0.2296,97.51,2969.9,7695
4,2.3821,0.3035,2.6953,0.2159,94.70,2969.9,7695
5,2.3012,0.3356,2.6467,0.3079,86.82,2969.9,7695
6,2.1847,0.4267,2.5573,0.3354,98.13,2969.9,7695
7,2.0304,0.4958,2.4701,0.3799,101.03,2969.9,7695
8,1.9444,0.4901,2.4947,0.2857,119.71,2969.9,7695
9,1.8166,0.5231,2.2951,0.4534,99.71,2969.9,7695
10,1.6293,0.6486,2.2044,0.4884,103.80,2969.9,7695
