#clip
epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_s,peak_mem_mb,trainable_params
1,2.6339,0.1214,2.7172,0.1709,61.71,3605.3,151285008
2,2.3365,0.2532,2.6541,0.2111,55.85,3607.7,151285008
3,2.2155,0.3201,2.7573,0.2624,93.93,3607.7,151285008
4,2.1367,0.3856,2.6673,0.3138,97.63,3607.7,151285008
5,2.0173,0.4079,2.5822,0.3111,98.03,3607.7,151285008
6,2.0627,0.3493,2.8235,0.1910,97.19,3607.7,151285008
7,1.9632,0.3678,2.5442,0.3444,97.92,3607.7,151285008
8,1.7195,0.4941,2.5017,0.3635,97.20,3607.7,151285008
9,1.5880,0.5574,2.3832,0.4370,98.12,3607.7,151285008
10,1.3666,0.6245,2.2480,0.4577,94.88,3607.7,151285008
