#siglip
epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_s,peak_mem_mb,trainable_params
1,2.7629,0.1919,3.5731,0.2905,605.13,6187.8,92895759
2,1.2213,0.5771,3.4164,0.6016,326.81,6187.7,92895759
3,0.4131,0.8667,3.1664,0.6508,341.63,6187.7,92895759
4,0.1967,0.9361,3.3576,0.6820,318.03,6187.7,92895759
5,0.1177,0.9610,3.6270,0.6847,323.57,6187.7,92895759
6,0.0671,0.9793,3.8290,0.6910,300.95,6187.7,92895759
7,0.0443,0.9853,3.9678,0.6852,300.08,6187.7,92895759
8,0.0335,0.9899,4.0565,0.6868,301.45,6187.7,92895759
9,0.0210,0.9939,4.1369,0.6915,303.26,6187.7,92895759
10,0.0182,0.9953,4.1608,0.6921,299.87,6187.7,92895759
